Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population,Prev_Population,Population_Lag_2,Population_Lag_3,Population_MA3,Population_Change,Population_Growth_Rate,Birth_Rate_Lag_1,Birth_Rate_Change,Death_Rate_Lag_1,Death_Rate_Change,Fertility_Rate_Lag_1,Fertility_Rate_Change,Life_Expectancy_Lag_1,Life_Expectancy_Change,GDP_Growth_Lag_1,GDP_Growth_Change,Net_Migration_Lag_1,Net_Migration_Change,Literacy_Rate_Lag_1,Literacy_Rate_Change,Urban_Population_Lag_1,Urban_Population_Change,Infant_Mortality_Lag_1,Infant_Mortality_Change,Population_Density_Lag_1,Population_Density_Change,Birth_Death_Ratio
1993,37.8896244154385,57.9978926827321,680737472.0,58.027,30.771,10.001,3.799,4.75077621776924,79.0,4.11248290182939,59.823,50.77800064086912,2364.0,922118387.0,310.144453264003,2.09986069412181,26.1767814681192,902957070.0,883927600.0,864972221.0,883952297.0,19029470.0,2.152831295232777,31.414,-0.6090000000000018,10.225,-0.2469999999999999,3.877,-0.0820000000000003,59.445,0.4130000000000038,5.48239602040357,4.42556458544294,35155.0,193066.0,49.49900093078611,1.2789997100830135,25.9808576702657,0.20109657968379935,80.7,-1.7999999999999972,303.699753463452,6.40035450139402,3.072273838630807
1994,37.6354900955109,58.2183206494931,692969292.0,58.063,30.295,9.777,3.723,6.65892407028434,77.3,4.14618925499594,60.237,52.05700035095213,-375253.0,941163767.0,316.550158920217,2.04435418122792,26.3710188638872,922118387.0,902957070.0,883927600.0,903001019.0,19161317.0,2.1220629016172383,30.771,-0.6430000000000007,10.001,-0.2240000000000002,3.799,-0.07799999999999985,59.823,0.3780000000000001,4.75077621776924,-0.7316198026343299,2364.0,-32791.0,50.77800064086912,1.2789997100830064,26.1767814681192,0.19592379785349934,79.0,-1.7000000000000028,310.144453264003,6.444699800551007,3.0767923207679235
1995,37.3483016526577,58.4681391112119,705185767.0,58.395,29.77,9.572,3.651,7.57449183788519,75.6,4.18355923613031,60.63,53.336000061035136,-57297.0,960301044.0,322.986773129198,2.01296632914892,26.5661772139368,941163767.0,922118387.0,902957070.0,922079741.3333334,19045380.0,2.0653942344606993,30.295,-0.4759999999999991,9.777,-0.2240000000000002,3.723,-0.07600000000000007,60.237,0.4140000000000015,6.65892407028434,1.9081478525150999,-375253.0,-377617.0,52.05700035095213,1.2789997100830135,26.3710188638872,0.19423739576800259,77.3,-1.7000000000000028,316.550158920217,6.405705656213968,3.098598752173469
1996,37.0248809038195,58.751339330383,717468852.0,58.729,29.217,9.371,3.582,7.54952224920051,73.9,4.22377976579751,61.027,54.61499977111815,-26388.0,979678458.0,329.5041547967,1.99775909414655,26.7648638746349,960301044.0,941163767.0,922118387.0,941194399.3333334,19137277.0,2.0333631266958876,29.77,-0.5250000000000021,9.572,-0.20500000000000007,3.651,-0.07200000000000006,60.63,0.3930000000000007,7.57449183788519,0.9155677676008498,-57297.0,317956.0,53.336000061035136,1.2789997100830064,26.5661772139368,0.19515835004959925,75.6,-1.7000000000000028,322.986773129198,6.436614208981041,3.110112829084831
1997,36.6813678630757,59.0516480610389,729670522.0,59.066,28.685,9.174,3.514,4.04982084998183,72.1,4.26698407588542,61.439,55.89399948120116,880.0,999133762.0,336.047733915424,1.966425183613,26.9696862023486,979678458.0,960301044.0,941163767.0,960381089.6666666,19377414.0,2.0178478531363546,29.217,-0.5530000000000008,9.371,-0.20099999999999874,3.582,-0.06899999999999995,61.027,0.39699999999999847,7.54952224920051,-0.024969588684680133,-26388.0,30909.0,54.61499977111815,1.2789997100830135,26.7648638746349,0.19868666069810104,73.9,-1.6999999999999886,329.5041547967,6.517381667501979,3.117810265713371
1998,36.3196138518854,59.3675103695515,741758789.0,59.404,28.199,8.988,3.446,6.18441582172117,70.2,4.31287577856306,61.852,57.17299919128417,-1049.0,1018665080.0,342.61687951325,1.93596384442712,27.1832515534447,999133762.0,979678458.0,960301044.0,979704421.3333334,19455304.0,1.985886679566042,28.685,-0.532,9.174,-0.19700000000000095,3.514,-0.06800000000000006,61.439,0.41199999999999903,4.04982084998183,-3.4997013992186794,880.0,27268.0,55.89399948120116,1.2789997100830135,26.9696862023486,0.2048223277136998,72.1,-1.8000000000000114,336.047733915424,6.543579118723983,3.1267713102245476
1999,35.9382456334839,59.7005235536315,753667153.0,59.743,27.73,8.805,3.383,8.84575555939531,68.3,4.36123081288453,62.284,58.45199890136718,-95320.0,1038225823.0,349.195921888611,1.90202919152067,27.4081672842903,1018665080.0,999133762.0,979678458.0,999159100.0,19531318.0,1.9548251438229347,28.199,-0.4859999999999971,8.988,-0.18599999999999994,3.446,-0.06799999999999962,61.852,0.4129999999999967,6.18441582172117,2.1345949717393395,-1049.0,-1929.0,57.17299919128417,1.2789997100830064,27.1832515534447,0.2135653510960971,70.2,-1.8999999999999915,342.61687951325,6.5691455978260365,3.1374054294615044
2000,35.5530832514968,60.0363292788794,765438404.0,60.079,27.518,8.628,3.35,3.84099115659129,66.3,4.41058746962383,62.749,59.73099861145019,-143960.0,1057922733.0,355.82076254797,1.87939826197393,27.6470407512523,1038225823.0,1018665080.0,999133762.0,1018674888.3333334,19560743.0,1.9202329974833336,27.73,-0.4690000000000012,8.805,-0.18299999999999983,3.383,-0.06300000000000017,62.284,0.43200000000000216,8.84575555939531,2.6613397376741394,-95320.0,-94271.0,58.45199890136718,1.2789997100830135,27.4081672842903,0.224915730845602,68.3,-1.9000000000000057,349.195921888611,6.579042375360984,3.1493469619534356
2001,35.1665921350717,60.3721236017034,777133989.0,59.923,27.206,8.482,3.303,4.82396626555771,64.3,4.46128426322486,63.158,61.0099983215332,-70346.0,1077898575.0,362.539418940599,1.87060822112685,27.9028652096636,1057922733.0,1038225823.0,1018665080.0,1038271212.0,19696910.0,1.8971701111310155,27.518,-0.21199999999999974,8.628,-0.1769999999999996,3.35,-0.03299999999999992,62.749,0.4650000000000034,3.84099115659129,-5.004764402804019,-143960.0,-48640.0,59.73099861145019,1.2789997100830064,27.6470407512523,0.2388734669620014,66.3,-2.0,355.82076254797,6.624840659358995,3.1893834028743626
2002,34.7802511535299,60.7034726242062,788343923.0,59.765,26.538,8.294,3.217,3.80397532112175,62.4,4.51627622226394,63.649,61.35799865722656,-732419.0,1097600380.0,369.165905979773,1.81129424097937,28.1756878910456,1077898575.0,1057922733.0,1038225823.0,1058015710.3333334,19975842.0,1.8882137018980192,27.206,-0.31200000000000117,8.482,-0.1460000000000008,3.303,-0.04700000000000015,63.158,0.4089999999999989,4.82396626555771,0.9829751089664196,-70346.0,73614.0,61.0099983215332,1.2789997100830135,27.9028652096636,0.255824458411297,64.3,-2.0,362.539418940599,6.718656392628986,3.207498231549163
