"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Barbados","BRB","Rural population","SP.RUR.TOTL","137542","138495","139129","139718","140155","140442","140620","140354","139569","138346","136366","133158","128830","123559","117571","111370","105352","99973","95599","92685","91902","92131","92390","92679","92984","93285","93553","93776","93940","94059","94231","94567","95008","95461","95906","96335","96740","97126","97513","97931","98174","98921","100467","102179","103974","105765","107471","109047","110468","111583","112198","112563","112888","113180","113452","113702","113933","114144","114333","114496","114647","114772","114751","114562","114287","",
"Brunei Darussalam","BRN","Rural population","SP.RUR.TOTL","50051","50649","50853","50818","50643","50320","49931","49593","49428","49585","49680","50167","51844","54174","56815","59723","62832","66074","69286","72369","75301","77971","80498","82800","84552","85831","86726","87153","87227","87264","87439","87962","88718","89435","90134","90814","91475","92117","92740","93344","93930","94477","94880","95056","95048","94923","94758","94816","95231","95964","97100","98601","100288","102078","103949","105771","107397","108852","110253","111589","112859","113984","114857","115564","116151","",
"Bhutan","BTN","Rural population","SP.RUR.TOTL","218521","224776","231532","238754","246265","254127","262357","270950","279911","289246","298765","307999","316740","325103","333151","340984","348714","356449","364316","372364","380669","389406","398404","407455","416573","425700","434864","444044","453152","462167","470236","473983","452166","429877","425571","416497","413058","416450","420357","425920","432179","438046","443561","448705","453485","457097","459051","460296","461477","462615","463742","464899","466096","467264","468236","468824","469103","468709","467509","465971","464399","462881","461235","458185","454616","",
"Botswana","BWA","Rural population","SP.RUR.TOTL","500671","511747","523222","535160","547160","552633","551105","548135","544382","540513","537203","541119","556611","579685","605586","633103","663154","695228","733882","773667","797424","816602","835353","841444","838567","828403","812612","793060","771160","750540","735818","730725","734198","740359","747630","755236","762517","769305","775509","780843","784935","786798","784894","779585","772406","764403","756515","749530","744261","741522","742195","746083","750682","754420","758119","762104","766641","771926","778077","785278","793785","804044","815193","817953","820319","",
"Central African Republic","CAF","Rural population","SP.RUR.TOTL","1359777","1376135","1392547","1408997","1425495","1442056","1458701","1475416","1492157","1508352","1518234","1518822","1514059","1508957","1508496","1518046","1530283","1538609","1547996","1558490","1570116","1582969","1596987","1612089","1628311","1645552","1663691","1683030","1708762","1750438","1803536","1858862","1917029","1977385","2038484","2093335","2146809","2205110","2264168","2325239","2388161","2439645","2491100","2548578","2601117","2657139","2708214","2756460","2810730","2786420","2757598","2793653","2811226","2817749","2791355","2778405","2810245","2837033","2864627","2878804","2900109","2921321","2891853","2900897","2978557","",
"Canada","CAN","Rural population","SP.RUR.TOTL","5544419","5537619","5500652","5444730","5383158","5323680","5286183","5248641","5195328","5143391","5128723","5251798","5327750","5425142","5538815","5651055","5737475","5802074","5852725","5900005","5963016","6021444","6064836","6080771","6089857","6104303","6142496","6215495","6291318","6400749","6491788","6562050","6600494","6598480","6578183","6553272","6546090","6552292","6552905","6553322","6557755","6563555","6554379","6521074","6486035","6456265","6442886","6432224","6429065","6437070","6457010","6489034","6543007","6601036","6657642","6695819","6751889","6796692","6839886","6870504","6863793","6815136","6872157","7004566","7142822","",
"Central Europe and the Baltics","CEB","Rural population","SP.RUR.TOTL","50786771","50691845","50593309","50519517","50316224","50031898","49842935","49762655","49611415","49305887","48876758","48433033","48018276","47606703","47164898","46954184","46528940","46181188","45953353","45611830","44865432","44493986","44214202","43942077","43659228","43534985","43356778","43175792","43023649","42861243","42750501","42550467","42347211","42297133","42284134","42240320","42191686","42153719","42103923","42050584","41816774","41416519","41089664","40974316","40858474","40647521","40447578","40293742","40032135","39921566","39697762","39579571","39520302","39396288","39284492","39159782","39106273","39019679","38981011","38968227","38834642","38529996","38434080","38373288","38226000","",
"Switzerland","CHE","Rural population","SP.RUR.TOTL","2609650","2625904","2655829","2674305","2679213","2670505","2659135","2653685","2650050","2644706","2631262","2615496","2609152","2604542","2596345","2573946","2538302","2508165","2485384","2465052","2446291","2426531","2400283","2364101","2321693","2278194","2235025","2194350","2157690","2125945","2104483","2091577","2074981","2053367","2029568","2004521","1977578","1950624","1929964","1919146","1918020","1924855","1936321","1948367","1960014","1971200","1982376","1998903","2022941","2046375","2065097","2084870","2098995","2094159","2068431","2020532","1953276","1866789","1763129","1648230","1525355","1375262","1323530","1316842","1309273","",
"Channel Islands","CHI","Rural population","SP.RUR.TOTL","67703","68562","69576","70708","71912","73148","74412","75718","77035","78352","79692","81048","82363","83620","84812","85892","86750","87391","87933","88392","88756","89259","90035","90902","91817","92762","93722","94718","95767","96889","98144","99137","99734","100268","100740","101043","101325","101766","102227","102649","103001","103463","104055","104593","105065","105493","105891","106279","106675","107096","107566","108079","108612","109130","109632","110020","110223","110446","110825","111270","111669","112025","112382","112763","113139","",
"Chile","CHL","Rural population","SP.RUR.TOTL","2622111","2608130","2593550","2578237","2561762","2543810","2524536","2504005","2482290","2459732","2435972","2408208","2375458","2339177","2300496","2260969","2222255","2185883","2153423","2126677","2107865","2098896","2101521","2112002","2126644","2144811","2165658","2188519","2212484","2236209","2258628","2277976","2291520","2293850","2283566","2263841","2237386","2206797","2176223","2149046","2128480","2118788","2123152","2134610","2147463","2161828","2177148","2193229","2209852","2226150","2241148","2253842","2263033","2266983","2266364","2262210","2259540","2264176","2274353","2279277","2267264","2244084","2221316","2198671","2175095","",
